"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5972","add fleece jacket to cart","chromium","2026-03-05","passed","2026-03-05","","ui\add_fleece_jacket_to_cart_ui.spec.ts","",""
"","2885","add t shirt into cart","chromium","2026-03-05","passed","2026-03-05","SauceDemo Cart Workflow","ui\add_t_shirt_into_cart_ui.spec.ts","",""
"","666","login functionality","chromium","2026-03-05","failed","2026-03-05","","api\login_functionality_api.spec.ts","",""
"","2061","checkout functionality","chromium","2026-03-05","passed","2026-03-05","","ui\checkout_functionality_ui.spec.ts","",""
"","2539","logout from application","chromium","2026-03-05","passed","2026-03-05","","ui\logout_from_application_ui.spec.ts","",""
"","1885","login with standard user","chromium","2026-03-05","passed","2026-03-05","","ui\login_with_standard_user_ui.spec.ts","",""
"","5374","should successfully add the backpack to the shopping cart","chromium","2026-03-05","passed","2026-03-05","","ui\add_backpack_to_cart_ui.spec.ts","",""
"","6027","add bike light","chromium","2026-03-05","passed","2026-03-05","","ui\add_bike_light_ui.spec.ts","",""
