"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","762","checkout functionality","chromium","2026-03-19","passed","2026-03-19","","ui/checkout_functionality_ui.spec.ts","",""
"","648","add bike light","chromium","2026-03-19","passed","2026-03-19","","ui/add_bike_light_ui.spec.ts","",""
"","561","login with standard user","chromium","2026-03-19","passed","2026-03-19","","ui/login_with_standard_user_ui.spec.ts","",""
"","899","should successfully add the backpack to the shopping cart","chromium","2026-03-19","passed","2026-03-19","","ui/add_backpack_to_cart_ui.spec.ts","",""
"","306","login functionality","chromium","2026-03-19","passed","2026-03-19","","api/login_functionality_api.spec.ts","",""
"","632","add fleece jacket to cart","chromium","2026-03-19","passed","2026-03-19","","ui/add_fleece_jacket_to_cart_ui.spec.ts","",""
"","666","add t shirt into cart","chromium","2026-03-19","passed","2026-03-19","SauceDemo Cart Workflow","ui/add_t_shirt_into_cart_ui.spec.ts","",""
"","1512","logout from application","chromium","2026-03-19","passed","2026-03-19","","ui/logout_from_application_ui.spec.ts","",""
